economy,time,Inversion_Extranjera_Pct_PIB,Inflacion_Pct,Efectividad_Gobierno,Uso_Internet_Pct,Exportaciones_Pct_PIB,PIB_PPP,Matricula_Primaria_Pct,Fuerza_Laboral_Total,Esperanza_Vida_Total,Poblacion_Total
ABW,YR1990,17.063550036523,5.83668775158166,,0.0,,2074802538.63492,,,72.546,62753.0
ABW,YR1991,21.1851377322229,5.55555555555579,,,,2240016403.48547,,,72.592,65896.0
ABW,YR1992,-3.85780885780885,3.8733753699648,,,,2371782096.95312,,,72.717,69005.0
ABW,YR1993,-1.65549252191851,5.2155599603571,,,,2545104657.04574,,,72.777,73685.0
ABW,YR1994,-5.8744394618834,6.3110797127044,,,,2753902530.91639,,,72.796,77595.0
ABW,YR1995,-0.418781725888323,3.36139107320899,,,84.8984771573604,2824048385.38005,,,72.832,79805.0
ABW,YR1996,6.16194331983805,3.22528797213979,,2.77,86.6396761133603,2857535626.68876,,,72.856,83021.0
ABW,YR1997,12.9139314369073,2.99994809778412,,,82.5309992706054,3058902590.16516,,,72.904,86301.0
ABW,YR1998,6.81314994968126,1.86948853615541,,,79.6377054679638,3119835454.0732,,,72.94,88451.0
ABW,YR1999,27.1368352788586,2.28037198258753,,4.51,79.928664072633,3158460322.39841,97.82877,,72.857,89659.0
ABW,YR2000,-6.82872717296655,4.04402131190513,,15.4428,74.3860109498193,3399227246.51454,98.08635,,72.939,90588.0
ABW,YR2001,-14.0750555726085,2.88360430316264,,17.1,70.9967837702649,3541382985.38743,94.53929,,73.044,91439.0
ABW,YR2002,16.9490560127573,3.31524678585423,,18.8,64.5643135803172,3507918563.58589,95.31814,,73.135,92074.0
ABW,YR2003,7.81642871198372,3.65636507938418,,20.8,62.7312132409209,3546874160.57922,93.9307,,73.236,93128.0
ABW,YR2004,-4.68763897846137,2.52912946932762,1.28138864040375,23.0,64.6655585140977,3805573516.87108,94.63489,,73.223,95138.0
ABW,YR2005,-8.8049356352136,3.39778677828806,1.28759801387787,25.4,68.0752981880873,3790992931.08987,97.80506,,73.415,97635.0
ABW,YR2006,8.92046662114826,3.60802438784541,1.27981781959534,28.0,64.5941526531523,3833733019.99881,98.6384,,73.498,99405.0
ABW,YR2007,-17.5903165005138,5.39256784475517,1.24660122394562,30.9,65.0612625386555,3952177903.24836,98.86144,,73.642,100150.0
ABW,YR2008,0.664175810874169,8.95598705177784,1.27092468738556,52.0,65.5292950658025,4024730213.51047,99.05832,,73.783,100917.0
ABW,YR2009,-0.41563759901472,-2.13542872046937,1.49665641784668,58.0,62.9185634689552,3554732628.36121,95.89151,,73.974,101604.0
ABW,YR2010,7.61167220218675,2.07814071860787,1.24645340442657,62.0,60.2181860904717,3457565547.87583,98.91975,,74.297,101838.0
ABW,YR2011,18.5057800383246,4.31629742195203,1.23643040657043,69.0,69.7510127562388,3574059131.98348,,,74.578,102591.0
ABW,YR2012,-12.0331802180755,0.627471992893373,1.24758815765381,74.0,73.1035458041627,3536860328.67059,,,74.841,104110.0
ABW,YR2013,9.97445713517423,-2.37206524252261,1.22108125686646,78.9,73.5764358929723,3764332114.51418,,,75.072,105675.0
ABW,YR2014,7.46525460335849,0.421440918881214,0.887494266033173,83.78,75.4546231589626,3818015203.70139,99.23471,,75.261,106807.0
ABW,YR2015,-0.907264375161604,0.474763597342641,0.847599267959595,88.6612,70.3217227986333,3955902057.40891,,,75.405,107906.0
ABW,YR2016,0.923397287531133,-0.931195987079561,0.852905750274658,93.5425,68.9666600570598,4004731155.84984,,,75.54,108727.0
ABW,YR2017,5.2533752062728,-1.02828178762012,0.875969707965851,97.17,69.6369362107407,4144633629.57693,,,75.62,108735.0
ABW,YR2018,4.39981717177271,3.62604141352961,1.01341271400452,,68.4088639609739,4277778787.92377,,,75.88,108908.0
ABW,YR2019,-2.2478342012416,4.25746204335428,0.987693905830383,,66.7217875421583,4330186379.95047,,,76.019,109203.0
ABW,YR2020,6.51718576425329,,1.07495975494385,,53.5769436483474,3295358879.02298,,,75.406,108587.0
ABW,YR2021,4.63553026601194,,1.08387625217438,,67.5199048286586,3780785538.74098,,,73.655,107700.0
ABW,YR2022,7.4653342753216,,1.10521340370178,,80.8068810212559,4182926182.33152,,,76.226,107310.0
ABW,YR2023,-3.58459079731401,,0.795440852642059,,82.4000749026328,4505295870.27862,,,76.353,107359.0
ABW,YR2024,2.42051208397071,,,,83.9924869695432,4812141511.37331,,,,107995.0
AFG,YR2000,0.00482760061734038,,-2.17394614219666,,,32567375969.9946,,4685110.0,55.005,20130327.0
AFG,YR2001,0.0241685679088889,,,0.00472257,,29495629513.1972,,4703525.0,55.511,20284307.0
AFG,YR2002,1.30694987042884,,-1.58768701553345,0.0045614,,37931379899.2707,,4947614.0,56.225,21378117.0
AFG,YR2003,1.27849325196424,,-1.17576801776886,0.0878913,,41281584746.4411,,5259920.0,57.171,22733049.0
AFG,YR2004,3.577104200584,,-0.945146262645721,0.105809,,41865355064.2988,,5459292.0,57.81,23560654.0
AFG,YR2005,4.36867310434287,12.6862687216715,-1.2288156747818,1.22415,,46566715049.4503,,5672338.0,58.247,24404567.0
AFG,YR2006,3.41377297323201,6.78459655001655,-1.47365152835846,2.10712,,49061481753.757,,5937057.0,58.553,25424094.0
AFG,YR2007,1.93570171391636,8.68057078513406,-1.44011056423187,1.9,,55844878995.5875,,6089718.0,58.956,25909852.0
AFG,YR2008,0.45536044478174,26.4186641547444,-1.52779507637024,1.84,,58036781460.4599,,6273586.0,59.708,26482622.0
AFG,YR2009,0.45188914562189,-6.81116108898996,-1.50775218009949,3.55,,70451155676.9393,,6563261.0,60.248,27466101.0
AFG,YR2010,1.20311798981139,2.17853752389419,-1.47831559181213,4.0,,80569661676.7348,,6822959.0,60.702,28284089.0
AFG,YR2011,0.293025179616803,11.8041858089129,-1.47410047054291,5.0,,80913174277.9269,,7148944.0,61.25,29347708.0
AFG,YR2012,0.285440893554571,6.44121280934117,-1.37553513050079,5.45455,,91231454557.6403,,7518518.0,61.735,30560034.0
AFG,YR2013,0.239801184405551,7.38577178397855,-1.40146291255951,5.9,,96341095375.7699,,7857574.0,62.188,31622704.0
AFG,YR2014,0.209664794672203,4.67399603536345,-1.36164617538452,7.0,,98965950294.897,,8229616.0,62.26,32792523.0
AFG,YR2015,0.88400046336123,-0.661709164713742,-1.39739489555359,8.26,,100402257640.593,,8575264.0,62.27,33831764.0
AFG,YR2016,0.516606084523093,4.38389195513915,-1.29146802425385,11.0,,102671664129.973,,8883595.0,62.646,34700612.0
AFG,YR2017,0.274796791572807,4.97595150553833,-1.38659679889679,13.5,,105389386367.805,,9223903.0,62.406,35688935.0
AFG,YR2018,0.661572217787196,0.626149149168847,-1.50175786018372,16.8,,106642706595.941,,9215855.0,62.443,36743039.0
AFG,YR2019,0.124495985291258,2.30237251516834,-1.5191125869751,17.6,,110814146350.335,,9194531.0,62.941,37856121.0
AFG,YR2020,0.0649939571808755,5.60188791482224,-1.61153948307037,17.0485,10.4208171386207,108208794210.783,,9060510.0,61.454,39068979.0
AFG,YR2021,0.144466946606861,5.13320340824963,-1.67058789730072,16.5143,14.342152797537,85767546197.7544,,9183905.0,60.417,40000412.0
AFG,YR2022,0.0,13.7121023720065,-1.88003480434418,17.1917,18.3800424016375,80415503801.351,,8617545.0,65.617,40578842.0
AFG,YR2023,0.0,-4.64470870797775,-1.98701369762421,17.7089,16.8527881206002,82238478027.9442,,8866507.0,66.035,41454761.0
AGO,YR1990,-2.98142869155218,,,0.0,,97297784927.487,,4924766.0,41.854,11626360.0
AGO,YR1991,6.26663053571429,83.7837837837838,,,,98262355569.0491,,5079618.0,43.812,12023529.0
AGO,YR1992,3.46608752793541,299.509803921569,,,,92525523395.9401,,5235871.0,42.267,12423712.0
AGO,YR1993,5.2368632542517,1378.52760736196,,,,70334740879.4429,,5393854.0,42.19,12827135.0
AGO,YR1994,3.83703655802979,949.792531120332,,,,71276778681.9252,,5560765.0,43.567,13249764.0
AGO,YR1995,8.52948883994992,2666.45059288538,,,,81968295504.7868,,5744293.0,46.139,13699778.0
AGO,YR1996,2.39900196315229,4145.10598220638,-0.859939992427826,0.000776,,93070384529.9102,,5941527.0,46.418,14170973.0
AGO,YR1997,5.38231611756009,219.176721172974,,0.00567,,99840582435.6121,,6150107.0,46.688,14660413.0
AGO,YR1998,17.1216116785351,107.284821528298,-1.05510711669922,0.0185,,104524250375.134,45.34669,6365427.0,45.452,15159370.0
AGO,YR1999,40.1672485630423,248.195902412868,,0.072,,106804436150.307,,6585434.0,45.808,15667235.0
AGO,YR2000,9.62386615038711,324.996871601321,-1.07503414154053,0.105046,,110066910340.27,,6815659.0,46.501,16194869.0
AGO,YR2001,24.0090757001341,152.561022469299,,0.136014,,114696323000.03,,7057918.0,47.032,16747208.0
AGO,YR2002,10.0713557339551,108.897436089429,-1.13215708732605,0.270377,49.4975384807229,130370365521.361,,7312781.0,47.874,17327699.0
AGO,YR2003,17.5840588571176,98.2241436573304,-1.12422430515289,0.370682,47.564460965317,134916787445.384,,7583239.0,50.218,17943712.0
AGO,YR2004,8.13849032848245,43.5421067519687,-1.32887244224548,0.464815,51.0441768869336,150324100262.442,,7870706.0,51.123,18600423.0
AGO,YR2005,-3.14962046173322,22.953513851394,-1.1102192401886,1.14337,58.7232661870034,171602142235.172,,8170907.0,52.13,19291161.0
AGO,YR2006,-0.0643009490167298,13.3052101780032,-1.38104915618896,1.5,56.8533385666593,191922955389.468,,8483347.0,52.965,20015279.0
AGO,YR2007,-1.22312266225132,12.2514974459487,-1.20500719547272,1.7,61.2105085588617,216878100294.342,,8810501.0,54.2,20778561.0
AGO,YR2008,1.69952793928946,12.4758291326398,-1.06138837337494,1.9,65.0305321876619,240271951644.505,75.37373,9150346.0,55.281,21578655.0
AGO,YR2009,2.69909240017807,13.7302839288408,-0.945070207118988,2.3,50.8993863954011,245066792516.81,74.65254,9502658.0,56.225,22414773.0
AGO,YR2010,-3.37761927933748,14.4696564932577,-1.13826775550842,2.8,53.8925161319852,258039809323.47,75.80242,9873442.0,57.242,23294825.0
AGO,YR2011,-2.40838836782517,13.4824679218511,-1.19323122501373,4.7,54.1205324819562,267313423592.843,78.02393,10270426.0,58.093,24218352.0
AGO,YR2012,-1.02012839058611,10.2779049218839,-0.988945424556732,7.7,50.0270607128454,290043412365.186,,10636117.0,58.916,25177394.0
AGO,YR2013,-4.78350487024797,8.77781429332624,-1.24288654327393,13.0,45.2323209197428,304206409978.552,,11009075.0,59.705,26165620.0
AGO,YR2014,2.38352427018273,7.28038730361121,-1.05657386779785,21.3623,37.0143267493642,318369419488.554,,11376942.0,60.396,27160769.0
AGO,YR2015,9.7795154502448,9.35597215533784,-0.929087340831757,22.0,26.1489317124585,320799143936.46,,11740075.0,61.042,28157798.0
AGO,YR2016,-0.299804386002375,30.6944150806719,-0.971493542194366,23.2,24.6591652555406,315343857089.858,,12119717.0,61.619,29183070.0
AGO,YR2017,-8.76696380208172,29.8444799015679,-0.951988995075226,26.0,25.4572351848497,314872745269.793,,12515803.0,62.122,30234839.0
AGO,YR2018,-7.21246216123288,19.6289379701521,-1.00525164604187,29.0,36.2458951290851,313001106321.2,,12917977.0,62.622,31297155.0
AGO,YR2019,-5.07649440156737,17.080954143438,-1.1284898519516,32.1294,37.1603311244083,312360454887.6,,13331298.0,63.051,32375632.0
AGO,YR2020,-3.17143620765821,22.271539247051,-1.25748455524445,36.6347,31.5758280076577,299733448280.164,,13743846.0,63.116,33451132.0
AGO,YR2021,-5.47403409372737,25.7542948841891,-1.1263599395752,39.3876,39.4494840713604,306036100914.862,,14529142.0,62.958,34532429.0
AGO,YR2022,-5.02899288556058,21.3552901320822,-1.02603423595428,42.0719,35.1960530217063,318938590839.705,,14885226.0,64.246,35635029.0
AGO,YR2023,-1.97786390222726,13.6441017767715,-1.00890958309174,44.7581,32.3263024339928,322967768020.026,,15430003.0,64.617,36749906.0
AGO,YR2024,-1.0986881170909,28.2404948915772,,,31.4835234652022,337255560567.664,,15960547.0,,37885849.0
ALB,YR1990,0.0,,,0.0,15.4050638293415,18275973036.6757,,1366650.0,72.71,3286542.0
ALB,YR1991,0.0,,,,7.48481872467814,13158309178.3341,,1419589.0,73.001,3266790.0
ALB,YR1992,3.06666159864896,226.005421253526,,,12.4995914932505,12212606903.8536,,1429286.0,73.303,3247039.0
ALB,YR1993,4.89321210624299,85.0047512387156,,,15.9788298133865,13380060273.5677,,1407770.0,73.638,3227287.0
ALB,YR1994,2.81772379080922,22.5650526933696,,,11.983694347693,14490988828.6789,,1389340.0,73.837,3207536.0
ALB,YR1995,2.40956158210409,7.79321853789217,,0.0112,12.2696512257008,16421526662.7967,,1363787.0,74.022,3187784.0
ALB,YR1996,2.78560468452093,12.7254778087103,-0.68858790397644,0.0322,11.4951450178899,17626263877.0168,,1345509.0,74.113,3168033.0
ALB,YR1997,2.07092049927343,33.1802743753956,,0.0486,10.0408492363618,15561951066.3174,,1360459.0,73.383,3148281.0
ALB,YR1998,1.73091617857629,20.6428588670596,-0.732602536678314,0.065,11.2273038242118,16855153122.1362,,1344507.0,74.357,3128530.0
ALB,YR1999,1.25458994529204,0.389437653561628,,0.0814,16.4734334387411,18920032118.2916,96.79354,1324627.0,74.568,3108778.0
ALB,YR2000,3.9893207113692,0.0500181363468238,-0.917780160903931,0.114097,19.5304708980011,20332007384.6346,95.38335,1313953.0,74.826,3089027.0
ALB,YR2001,5.10708868615592,3.10758827031434,,0.325798,20.6135666190169,22134181757.0791,93.86551,1300522.0,75.083,3060173.0
ALB,YR2002,2.99003115858884,7.77052583431552,-0.624333381652832,0.390081,20.1711859333135,23158639312.2553,,1304298.0,75.299,3051010.0
ALB,YR2003,3.06868730168473,0.484002611818478,-0.563986718654633,0.9719,20.1638803786461,24393750745.8212,91.69871,1290479.0,75.557,3039616.0
ALB,YR2004,4.60782278585291,2.28001916938101,-0.408371657133102,2.42039,21.5517522222215,25678389507.9597,90.92345,1275726.0,75.951,3026939.0
ALB,YR2005,3.17899814544722,2.36658195679795,-0.696387231349945,6.04389,22.4427818397267,26995901948.2492,,1259700.0,76.427,3011487.0
ALB,YR2006,3.55321913781567,2.37072831904282,-0.580952644348145,9.60999,24.5085919324007,28620780222.1875,,1241897.0,76.994,2992547.0
ALB,YR2007,5.86740351847628,2.93268248162323,-0.427722543478012,15.0361,27.1308199124046,30481157442.787,,1222005.0,77.691,2970017.0
ALB,YR2008,9.40665320050491,3.32087090389265,-0.367063492536545,23.86,24.5826619203536,32586509979.2969,86.78701,1201455.0,78.248,2947314.0
ALB,YR2009,10.9068201480963,2.26692209450831,-0.255941480398178,41.2,24.644624460972,33463331993.0599,85.34118,1247208.0,78.509,2927519.0
ALB,YR2010,9.01744998049889,3.6271009151748,-0.279453217983246,45.0,27.6099296701047,34458248529.5705,85.95611,1259163.0,78.414,2913021.0
ALB,YR2011,8.08329285826067,3.42807130141503,-0.202177077531815,47.0,29.0544738022633,35307133284.5751,86.99052,1376922.0,78.303,2905195.0
ALB,YR2012,7.49597513325321,2.03159268395296,-0.26892501115799,49.4,29.1107709360814,35654601333.072,89.53195,1299606.0,78.084,2860708.0
ALB,YR2013,9.80035898039468,1.93762080205223,-0.324457377195358,51.8,28.8694020076469,36263306783.5365,91.90565,1184290.0,77.995,2816902.0
ALB,YR2014,8.64846635716115,1.62586504402604,-0.0497708097100258,54.3,28.0683434875498,37075687156.45,93.78369,1194487.0,78.029,2773767.0
ALB,YR2015,8.62740636982337,1.89617402592366,0.0275752544403076,56.9,27.0693224620319,37901623749.912,94.17835,1227883.0,78.358,2731293.0
ALB,YR2016,8.71147225448456,1.27543168367423,0.0290823616087437,59.6,28.6697931741608,39383173780.9119,94.05692,1254637.0,78.643,2689469.0
ALB,YR2017,7.71411336285186,1.98666133171194,0.0985528454184532,62.4,31.0017957888583,40676192664.2568,95.53947,1256406.0,78.9,2648285.0
ALB,YR2018,7.83109146132114,2.02805963071135,0.0805245339870453,65.4,31.1140135421951,42169586244.5046,94.52966,1267869.0,79.238,2607733.0
ALB,YR2019,7.70621465029911,1.41109078954251,-0.0623007006943226,68.5504,30.9361224858484,43039366811.6478,,1273761.0,79.467,2567801.0
ALB,YR2020,7.01865154497786,1.62088661717004,-0.155121222138405,72.2377,22.5407585558933,41613147052.7973,,1204968.0,77.824,2528480.0
ALB,YR2021,6.75791457973236,2.04147163139545,-0.0359850227832794,79.3237,31.1330562572669,45345669983.063,,1211144.0,76.844,2489762.0
ALB,YR2022,7.57934042905775,6.7252027153006,0.0645405352115631,82.6137,37.1970755614977,47534415064.5067,,1226186.0,78.769,2451636.0
